rank,feature_id,frequency_score,active_ratio,mean_activation,std_activation,blacklisted
82,3798,0.9990000128746033,0.9990000128746033,0.7745653390884399,0.6275113821029663,1
83,7346,0.9990000128746033,0.9990000128746033,0.7271806001663208,0.42797866463661194,1
84,4002,0.9990000128746033,0.9990000128746033,0.7161325812339783,0.5193415284156799,1
85,869,0.9990000128746033,0.9990000128746033,0.5561535358428955,0.4229929447174072,1
86,5555,0.9990000128746033,0.9990000128746033,0.5436607599258423,0.45551466941833496,1
87,1044,0.9990000128746033,0.9990000128746033,0.5241325497627258,0.39398193359375,1
88,7183,0.9990000128746033,0.9990000128746033,0.5135785937309265,0.32068803906440735,1
89,5506,0.9990000128746033,0.9990000128746033,0.4587211310863495,0.30525901913642883,1
90,4122,0.9990000128746033,0.9990000128746033,0.4228780269622803,0.3403112590312958,1
91,3884,0.9990000128746033,0.9990000128746033,0.3993757665157318,0.28188422322273254,1
92,7839,0.9990000128746033,0.9990000128746033,0.3507593870162964,0.22870434820652008,1
93,4761,0.9990000128746033,0.9990000128746033,0.30709415674209595,0.20385678112506866,1
94,7092,0.9980000257492065,0.9980000257492065,1.613603115081787,1.2575381994247437,1
95,6848,0.9980000257492065,0.9980000257492065,1.2451459169387817,0.902482807636261,1
96,4925,0.9980000257492065,0.9980000257492065,0.9295147657394409,0.5831672549247742,1
97,2484,0.9980000257492065,0.9980000257492065,0.9100300073623657,0.5535786747932434,1
98,9567,0.9980000257492065,0.9980000257492065,0.8499578237533569,0.5416852235794067,1
99,785,0.9980000257492065,0.9980000257492065,0.7839006781578064,0.5919902920722961,1
100,8119,0.9980000257492065,0.9980000257492065,0.7031664848327637,0.5482943654060364,1
101,975,0.9980000257492065,0.9980000257492065,0.6931820511817932,0.5086572766304016,1
102,5178,0.9980000257492065,0.9980000257492065,0.643686830997467,0.44971799850463867,1
103,2979,0.9980000257492065,0.9980000257492065,0.5408815741539001,0.3319616913795471,1
104,5932,0.9980000257492065,0.9980000257492065,0.4886886477470398,0.4093993902206421,1
105,9229,0.9980000257492065,0.9980000257492065,0.48763811588287354,0.4039033353328705,1
106,738,0.9980000257492065,0.9980000257492065,0.4618575870990753,0.3579356074333191,1
107,2735,0.9980000257492065,0.9980000257492065,0.4597705900669098,0.40326380729675293,1
108,670,0.996999979019165,0.996999979019165,0.890699565410614,0.7139814496040344,1
109,5304,0.996999979019165,0.996999979019165,0.6839480400085449,0.7497237324714661,1
110,5782,0.996999979019165,0.996999979019165,0.6213790774345398,0.42474132776260376,1
111,2971,0.996999979019165,0.996999979019165,0.5236817598342896,0.33254021406173706,1
112,2592,0.996999979019165,0.996999979019165,0.46969327330589294,0.378821462392807,1
113,8397,0.996999979019165,0.996999979019165,0.43475520610809326,0.48003870248794556,1
114,3622,0.996999979019165,0.996999979019165,0.41979193687438965,0.2752659320831299,1
115,8842,0.9959999918937683,0.9959999918937683,0.6093771457672119,0.4729532301425934,1
116,9343,0.9959999918937683,0.9959999918937683,0.4856906235218048,0.4342781901359558,1
117,8597,0.9959999918937683,0.9959999918937683,0.426946222782135,0.3812048137187958,1
118,7109,0.9959999918937683,0.9959999918937683,0.4017414152622223,0.2736101448535919,1
119,5678,0.9959999918937683,0.9959999918937683,0.32987239956855774,0.2475450038909912,1
120,8737,0.9959999918937683,0.9959999918937683,0.3083689510822296,0.21249039471149445,1
121,2883,0.9959999918937683,0.9959999918937683,0.29387399554252625,0.22342215478420258,1
122,9316,0.9950000047683716,0.9950000047683716,0.8936752676963806,0.7328293919563293,1
123,95,0.9950000047683716,0.9950000047683716,0.7883033752441406,0.5594348311424255,1
124,6620,0.9950000047683716,0.9950000047683716,0.7461494207382202,0.5968869924545288,1
125,5787,0.9950000047683716,0.9950000047683716,0.6869279146194458,0.495897114276886,1
126,8020,0.9950000047683716,0.9950000047683716,0.4300779402256012,0.32922279834747314,1
127,2046,0.9950000047683716,0.9950000047683716,0.3134109675884247,0.2450869232416153,1
128,5789,0.9950000047683716,0.9950000047683716,0.29245343804359436,0.297695517539978,1
129,7000,0.9940000176429749,0.9940000176429749,0.5727249979972839,0.5019985437393188,1
130,2672,0.9940000176429749,0.9940000176429749,0.5311407446861267,0.4773467481136322,1
131,5808,0.9940000176429749,0.9940000176429749,0.5070071816444397,0.39662113785743713,1
132,8136,0.9940000176429749,0.9940000176429749,0.38724371790885925,0.3497926890850067,1
133,1597,0.9940000176429749,0.9940000176429749,0.3635880649089813,0.27185019850730896,1
134,7697,0.9940000176429749,0.9940000176429749,0.22837433218955994,0.16261844336986542,1
135,9674,0.9940000176429749,0.9940000176429749,0.19115841388702393,0.13902752101421356,1
136,3837,0.9929999709129333,0.9929999709129333,0.43274590373039246,0.40413546562194824,1
137,7004,0.9929999709129333,0.9929999709129333,0.3297632932662964,0.24256989359855652,1
138,5759,0.9929999709129333,0.9929999709129333,0.21319697797298431,0.17734195291996002,1
139,843,0.9919999837875366,0.9919999837875366,1.7550749778747559,1.3586567640304565,1
140,6756,0.9919999837875366,0.9919999837875366,0.1812392920255661,0.14070084691047668,1
141,2942,0.9909999966621399,0.9909999966621399,0.5195425748825073,0.5617482662200928,1
142,6994,0.9909999966621399,0.9909999966621399,0.42833516001701355,0.4421994686126709,1
143,832,0.9909999966621399,0.9909999966621399,0.18676872551441193,0.15762893855571747,1
144,1396,0.9900000095367432,0.9900000095367432,0.47816750407218933,0.39899349212646484,1
145,8895,0.9900000095367432,0.9900000095367432,0.4611988961696625,0.38294005393981934,1
146,6891,0.9900000095367432,0.9900000095367432,0.33683523535728455,0.2679519057273865,1
147,9419,0.9890000224113464,0.9890000224113464,0.74017333984375,0.8722101449966431,1
148,2901,0.9890000224113464,0.9890000224113464,0.4058511555194855,0.4060239791870117,1
149,1191,0.9879999756813049,0.9879999756813049,0.587699830532074,0.53694748878479,1
150,8879,0.9879999756813049,0.9879999756813049,0.5683450698852539,0.5709308385848999,1
151,6722,0.9879999756813049,0.9879999756813049,0.4699510633945465,0.3720073699951172,1
152,7504,0.9879999756813049,0.9879999756813049,0.4670501947402954,0.3924542963504791,1
153,3480,0.9879999756813049,0.9879999756813049,0.3738883435726166,0.41654467582702637,1
154,3439,0.9879999756813049,0.9879999756813049,0.32800933718681335,0.2804676592350006,1
155,5382,0.9879999756813049,0.9879999756813049,0.2778676152229309,0.23556818068027496,1
156,10048,0.9879999756813049,0.9879999756813049,0.2416999489068985,0.2233937680721283,1
157,4886,0.9869999885559082,0.9869999885559082,0.4175443947315216,0.3700895309448242,1
158,1152,0.9869999885559082,0.9869999885559082,0.38691943883895874,0.39635545015335083,1
159,262,0.9869999885559082,0.9869999885559082,0.25317952036857605,0.25793230533599854,1
160,5909,0.9869999885559082,0.9869999885559082,0.21912020444869995,0.17815767228603363,1
161,1376,0.9860000014305115,0.9860000014305115,0.545524537563324,0.4899091422557831,1
162,2899,0.9860000014305115,0.9860000014305115,0.4415556788444519,0.3828640580177307,1
163,6957,0.9860000014305115,0.9860000014305115,0.3263404369354248,0.2944560647010803,1
164,7008,0.9850000143051147,0.9850000143051147,0.4081626832485199,0.3591144382953644,1
165,3647,0.9850000143051147,0.9850000143051147,0.3035251498222351,0.2875339984893799,1
166,4510,0.9850000143051147,0.9850000143051147,0.2789815068244934,0.2610273063182831,1
167,9784,0.9850000143051147,0.9850000143051147,0.2736341953277588,0.23787735402584076,1
168,4789,0.9850000143051147,0.9850000143051147,0.2004399597644806,0.17157579958438873,1
169,7331,0.984000027179718,0.984000027179718,0.5208956003189087,0.5404883623123169,1
170,2996,0.984000027179718,0.984000027179718,0.3067466616630554,0.3044692277908325,1
171,6563,0.984000027179718,0.984000027179718,0.2636488974094391,0.26225546002388,1
172,7595,0.9829999804496765,0.9829999804496765,0.5075181126594543,0.5223014950752258,1
173,5351,0.9829999804496765,0.9829999804496765,0.3631032705307007,0.351535439491272,1
174,7233,0.9829999804496765,0.9829999804496765,0.3332100510597229,0.33099570870399475,1
175,4384,0.9829999804496765,0.9829999804496765,0.3081550896167755,0.26609599590301514,1
